Stock_Date,open,high,low,close,volume,Tweet_Date,Positive,Negative,Total
10/22/2018,154.76,157.34,154.46,154.78,15424658,10/23/2018,1386,499,3339
10/23/2018,151.22,154.77,150.85,154.39,19095032,10/24/2018,1493,458,3460
10/24/2018,154.28,154.65,145.6,146.04,27744597,10/25/2018,1574,504,3748
10/25/2018,147.73,152.21,147,150.95,22105696,10/26/2018,1370,456,3237
10/26/2018,145.82,149,143.8,145.37,31303341,10/27/2018,956,395,2410
10/29/2018,148.5,148.83,139.03,142.09,31336784,10/30/2018,1431,513,3396
10/30/2018,139.935,146.64,139.7419,146.22,50528278,10/31/2018,1516,538,3618
10/31/2018,155,156.4,148.96,151.79,60101251,11/1/2018,1328,452,3146
11/1/2018,151.52,152.75,149.35,151.75,25640786,11/2/2018,1024,334,2595
11/2/2018,151.8,154.13,148.96,150.35,24708695,11/3/2018,760,257,1904
11/5/2018,150.1,150.19,147.44,148.68,15969849,11/6/2018,1074,420,2809
11/6/2018,149.31,150.97,148,149.94,16667124,11/7/2018,1028,320,2490
11/7/2018,151.57,153.01,149.83,151.53,21877372,11/8/2018,1036,314,2488
11/8/2018,150.49,150.94,146.74,147.87,24145814,11/9/2018,992,272,2300
11/9/2018,146.75,147.76,144.07,144.96,17326898,11/10/2018,755,197,1707
11/12/2018,144.48,145.04,140.4899,141.55,18542123,11/13/2018,1046,381,2573
11/13/2018,142,144.88,141.62,142.16,15141710,11/14/2018,1175,352,2770
11/14/2018,143.7,145.58,141.55,144.22,22068384,11/15/2018,1411,729,4115
11/15/2018,142.33,144.84,140.83,143.85,30320280,11/16/2018,1337,590,3511
11/16/2018,141.07,141.77,137.77,139.53,37250560,11/17/2018,801,333,2124
11/19/2018,137.61,137.75,131.21,131.55,44362729,11/20/2018,1401,1025,3982
11/20/2018,127.03,134.1592,126.85,132.43,41939475,11/21/2018,1261,492,3104
11/21/2018,134.4,137.19,134.13,134.82,25469735,11/22/2018,1038,380,2494
11/23/2018,133.65,134.5,131.2551,131.73,11886128,11/24/2018,787,248,1839
11/26/2018,133,137,132.78,136.38,24263640,11/27/2018,1277,448,3281
11/27/2018,135.75,136.6126,133.71,135,20750318,11/28/2018,1092,451,2758
11/28/2018,136.28,136.7899,131.85,136.76,29847505,11/29/2018,1037,356,2526
11/29/2018,135.92,139.99,135.66,138.68,24238713,11/30/2018,1051,402,2630
11/30/2018,138.26,140.966,137.36,140.61,25732577,12/1/2018,727,217,1727